@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,NA,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SAdv,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),semantic
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SPrep,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SPrep,SN,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,SPrep,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,SPrep,SN,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,SPrep,SN,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,NA,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,interjection,NA,NA,NA,NA,stroke,SP,SP,SP,semantic
NA,NA,NA,NA,NA,Th,NA,NA,NA,SPron,NA,NA,NA,NA,stroke,Th,Th,Th,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,conj,NA,NA,NA,stroke,Rh,Rh,Rh,semantic
foc,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SPrep,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
foc,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SPrep,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
foc,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SPrep,SN,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),semantic
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),semantic
NA,NA,NA,NA,NA,SP,NA,NA,NA,conj,NA,NA,NA,NA,NA,SP,SP,SP,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,relax,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SAdv,NA,NA,NA,Rh,Rh,Rh,NA
